"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AGAP010691.2",0.00412179678000251,-1.88708681486904,0.026,0.238,1,"C_5","AGAP010691"
"AGAP011057.2",0.00412838452434678,-2.27201436561102,0.026,0.234,1,"C_5","AGAP011057"
"AGAP004370.1",0.0041567964563243,-0.278946242273476,0.053,0.29,1,"C_5","AGAP004370"
"AGAP004703.1",0.0041601012335621,-1.30317509660707,0.079,0.322,1,"C_5","AGAP004703"
"AGAP013174.1",0.0041665154052771,-1.44146787664316,0.026,0.238,1,"C_5","AGAP013174"
"AGAP005314.1",0.0041665154052771,-1.670116482409,0.026,0.238,1,"C_5","AGAP005314"
"AGAP028875.1",0.00421167375868446,-1.48782843588419,0.026,0.238,1,"C_5","AGAP028875"
"AGAP007732.1",0.00421167375868446,-1.70097353402858,0.026,0.238,1,"C_5","AGAP007732"
"AGAP001566.1",0.00421838897634565,-2.29466189882434,0.026,0.224,1,"C_5","AGAP001566"
"AGAP011413.2",0.0042404883730372,-0.846496805972439,0.053,0.29,1,"C_5","AGAP011413"
"AGAP008737.1",0.00424678625782241,0.289023540314173,0.237,0.64,1,"C_5","AGAP008737"
"AGAP002982.2",0.00425023225183451,-1.71681572012956,0.053,0.276,1,"C_5","AGAP002982"
"AGAP004985.1",0.00425727563231449,-1.63557345822292,0.026,0.238,1,"C_5","AGAP004985"
"AGAP008354",0.00426510881400864,-1.94877561206045,0.026,0.234,1,"C_5","AGAP008354"
"AGAP004912.1",0.00428290485218812,0.510675660332435,0.053,0.29,1,"C_5","AGAP004912"
"AGAP008906.1",0.00430332484510464,-0.256528905254749,0.026,0.238,1,"C_5","AGAP008906"
"AGAP007670.2",0.00430332484510464,-0.398593104235613,0.026,0.238,1,"C_5","AGAP007670"
"AGAP000958.2",0.00430332484510464,-0.400355980924152,0.026,0.238,1,"C_5","AGAP000958"
"AGAP010981",0.00430332484510464,-0.527233540801625,0.026,0.238,1,"C_5","AGAP010981"
"AGAP009066.1",0.00430332484510464,-0.665276091274248,0.026,0.238,1,"C_5","AGAP009066"
"AGAP007761.2",0.00430332484510464,-0.945138358701739,0.026,0.238,1,"C_5","AGAP007761"
"AGAP008637.2",0.00430332484510464,-1.12541880770432,0.026,0.238,1,"C_5","AGAP008637"
"AGAP003215.2",0.00430332484510464,-1.13853000174035,0.026,0.238,1,"C_5","AGAP003215"
"AGAP000857.1",0.00430332484510464,-1.19098341848271,0.026,0.238,1,"C_5","AGAP000857"
"AGAP012126.3",0.00430332484510464,-1.37166510932923,0.026,0.238,1,"C_5","AGAP012126"
"AGAP003478.2",0.00431877382904883,-0.43283875543088,0.053,0.285,1,"C_5","AGAP003478"
"AGAP005904",0.00437981649805003,0.579517204636892,0.132,0.43,1,"C_5","AGAP005904"
"AGAP012005.2",0.00439870073729183,-0.961362888910192,0.079,0.332,1,"C_5","AGAP012005"
"AGAP011754.1",0.00440591722515561,-1.28937214169783,0.053,0.285,1,"C_5","AGAP011754"
"AGAP027995",0.00440592690671291,-2.15044631257573,0.026,0.234,1,"C_5","AGAP027995"
